Event Year,Event Month,Date Event Began,Area Affected,NERC Region,Demand Loss (MW),Number of Customers Affected
2023,January,01/31/2023,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",TRE,Unknown,360000
2023,February,02/01/2023,Texas: Travis County;,TRE,370,173879
2023,February,02/02/2023,Colorado:,WECC,0,0
2023,February,02/02/2023,Pennsylvania: Westmoreland County;,RF,0,0
2023,February,02/02/2023,Arkansas: Mississippi: Texas:,SERC,Unknown,74426
2023,February,02/02/2023,Maryland: Cecil County;,RF,0,0
2023,February,02/03/2023,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,WECC,0,0
2023,February,02/04/2023,Ohio: Gallia County;,RF,2000,Unknown
2023,February,02/06/2023,Florida: Hillsborough County;,SERC,0,0
2023,February,02/06/2023,Maryland:,RF,0,0
2023,February,02/07/2023,Wisconsin: La Crosse County;,MRO,0,0
2023,February,02/07/2023,Illinois: DuPage County;,SERC,0,0
2023,February,02/07/2023,New York: Queens County;,NPCC,0,0
2023,February,02/08/2023,Pennsylvania: Lawrence County;,RF,0,0
2023,February,02/11/2023,Texas: Taylor County;,TRE,0,0
2023,February,02/13/2023,California: San Diego County;,WECC,0,0
2023,February,02/13/2023,Wisconsin: Chippewa County;,MRO,0,0
2023,February,02/15/2023,Florida: Clay County;,SERC,0,0
2023,February,02/18/2023,Oklahoma: Kay County;,MRO,0,0
2023,February,02/19/2023,California: Riverside County;,WECC,0,0
2023,February,02/21/2023,Texas: Cameron County;,TRE,0,0
2023,February,02/21/2023,Florida: Hillsborough County;,SERC,0,0
2023,February,02/21/2023,Florida: Orange County;,SERC,Unknown,2547
2023,February,02/22/2023,"Michigan: Van Buren County, Kalamazoo County, St. Joseph County, Calhoun County, Branch County, Hillsdale County, Jackson County, Washtenaw County, Monroe County, Lenawee County, Ingham County, Barry County, Allegan County, Ottawa County, Eaton County, Ingham County, Shiawassee County, Clinton County;",RF,Unknown,261043
2023,February,02/22/2023,Michigan:,RF,6200,623358
2023,February,02/22/2023,South Dakota:,MRO,0,0
2023,February,02/23/2023,"Wisconsin: Kenosha County, Racine County, Milwaukee County, Walworth County, Jefferson County, Waukesha County; Michigan:",MRO,143,57000
2023,February,02/23/2023,Colorado: Larimer County;,WECC,0,0
2023,February,02/24/2023,Florida: Pasco County;,SERC,0,0
2023,February,02/25/2023,California: Los Angeles County;,WECC,Unknown,153555
2023,February,02/26/2023,North Carolina:,SERC,Unknown,Unknown
2023,February,02/27/2023,"Michigan: Newaygo County, Oceana County, Ionia County, Montcalm County, Jackson County, Van Buren County, Washtenaw County, Hillsdale County, Lenawee County;",RF,Unknown,76000
2023,February,02/28/2023,Wisconsin: Outagamie County;,MRO,14,0
2023,March,03/01/2023,Indiana: Hamilton County;,MRO,0,0
2023,March,03/02/2023,"Texas: Montague County, Cooke County, Grayson County, Fannin County, Lamar County, Young County, Jack County, Wise County, Denton County, Collin County, Hunt County, Delta County, Hopkins County, Stephens County, Palo Pinto County, Parker County, Tarrant County, Dallas County, Rockwall County, Kaufman County, Van Zandt County, Rains County, Eastland County, Erath County, Hood County, Somervell County, Johnson County, Ellis County, Henderson County, Comanche County, Mills County, Hamilton County, Bosque County, Hill County, Navarro County, Freestone County, Anderson County, Lampasas County, Coryell County, Bell County, McLennan County, Falls County, Limestone County, Leon County, Milam County, Robertson County;",TRE,Unknown,470000
2023,March,03/03/2023,Illinois: Cook County;,SERC/RF,0,0
2023,March,03/03/2023,Mississippi:,SERC,38,12014
